04/16/2022,さえずり市　４月１８日午前９時～午後４時、京都市上京区上御霊前通烏丸東入ルの御霊神社（４４１）２２６０。手作り品など約１０店。雨天決行。　…,文化・ライフ,「さえずり市」「豊国さんのおもしろ市」,https://www.kyoto-np.co.jp/articles/-/773578
04/16/2022,気象庁震央の位置（気象庁ホームページより）気象庁によると、１６日午前６時４８分ごろ、京都府亀岡市で震度１の地震があった。震源は京都府南部、震源の深さは約１０キロ。地震の規模はマグニチュード２・９と推定される。津波の心配はない。,社会,京都・亀岡で震度1　京都府南部が震源の地震,https://www.kyoto-np.co.jp/articles/-/773570
04/16/2022,【資料写真】立民・泉代表（東京・永田町）立憲民主党の泉健太代表（衆院京都３区）は１５日の記者会見で「全国的にみても国民が維新を応援するケースはどこにもない。京都だけというのはかなり考えにくい選択ではないか」と述べ、夏の参院選京都選挙区（改選数２）に向けた国民民主党と日本維新の会の連携をけん制した。一方、国民の榛葉賀津也幹事長は同日の会見で、泉氏の発言に対し「自民党、公明党以外とはどことでもいろんな連携はあり得る。うちの戦略戦術を泉代表にどうこう言われたくない」と不快感をあらわにした。党として前原誠司選対委員長（衆院京都２区）が会長を務める京都府連の対応を待つ考えを示した。泉氏のお膝元である参院選京都選挙区は、かつて自身が秘書を務めた立民現職の福山哲郎前幹事長のほか、自民党、維新、共産党がそれぞれ新人を擁立し、激戦が予想される。泉氏は福山氏の５選に向け国民との協力を模索しており、「これまで長く京都の中においても、中央においても、さまざま連携してきた経過があるので最大限生かしていきたい」と改めて意欲を口にした。,社会,立民・泉代表「維新を応援、どこにもない」京都で連携けん制、国民は不快感,https://www.kyoto-np.co.jp/articles/-/773163
