12/08/2021,◆12月10日（金）総合　午前10時15分～10時40分ＮＨＫ地域局発　えぇトコ　「京の楽園　里山の金メダル～京都　京北～」　※2021年…,文化・ライフ,京都テレビ案内 12月10日　ドキュメント720時間「車中移動生活」,https://www.kyoto-np.co.jp/articles/-/689487
12/08/2021,京都府亀岡市内で夜間に家に侵入して金品を盗む「忍び込み」が相次いでいる。特に無施錠の民家が被害に遭っており、注意を呼び掛けるステッカーを、…,社会,夜間に侵入、金品盗む「忍び込み」被害相次ぐ　児童が注意呼び掛けステッカー,https://www.kyoto-np.co.jp/articles/-/690131
12/08/2021,＜十二月八日は何の日？ と尋ねても、いまの若い人は正確には答えられないのではないか＞。そう案じたのはことし９０歳で他界した作家半藤一利さん…,社会,コラム凡語：「真珠湾」から８０年,https://www.kyoto-np.co.jp/articles/-/690740
