01/14/2022,夜明け前、雪の積もった,文化・ライフ,夜明け前,https://www.kyoto-np.co.jp/articles/-/711838
01/14/2022,京都府警下京署京都府警下京署は１４日、業務上横領の疑いで、佐賀市のアルバイトの女（４３）＝窃盗罪で起訴＝を再逮捕した。再逮捕容疑は京都市下京区のレストラン店長だった２０１６年６月～１７年８月、２８回にわたって店の売り上げ計約１８万円を着服した疑い。容疑を否認しているという。下京署によると、女はレジ操作を誤った時に会計を取り消す処理を悪用し、売り上げを実際よりも少なく偽装していた。店の運営会社による調査で、同容疑者による取り消し処理が多いことが発覚したという。,社会,レジ会計取り消し28回18万円着服疑い　会社調査で取り消し多いこと発覚,https://www.kyoto-np.co.jp/articles/-/711809
01/14/2022,任天堂本社ニンテンドースイッチ任天堂は１４日、同社の公式ホームページになりすました偽サイトが見つかったと発表した。同社によると、公式ロゴマークが無断で使用され、主力ゲーム機「ニンテンドースイッチ」などが大幅に割引された価格で購入できるかのように表示されているという。同社は「当社とは一切関係ない。個人情報が不正に取得されるなど、詐欺被害に遭う恐れがあるので偽サイトから商品を購入しないようにしてほしい」と注意を呼びかけている。被害の相談はないという。,社会,任天堂の偽公式ＨＰ発見、注意を　スイッチ大幅値引きなど装う,https://www.kyoto-np.co.jp/articles/-/711796
