05/18/2022,オープンする「くら寿司京都店」「くら寿司京都店」の店内回転ずしチェーン大手のくら寿司の新形態の店舗が京都市中京区新京極三条下ルに１９日オープンするのを前に１８日、内覧会が開かれた。新たな店舗「くら寿司京都店」は面積６５４平方メートル。クリエーティブディレクターの佐藤可士和さんがデザインを手がけ、巨大な浮世絵を配置し「和」を表現した「ＳＮＳ映え」する内装となっている。 同社が東京や大阪に４店舗保有する「グローバル旗艦店」に続く新形態の「プラス型店舗」の１号店という。メニューは他店と同様となる。プラス型店舗は今年７月に東京・アトレ大森（東京都大田区）に２号店を開く予定。くら寿司京都店の営業は午前１１時から午後１１時（１９日のみ正午から午後１１時）。,経済,映える「くら寿司」京都・新京極にオープンへ　「和」表現、佐藤可士和さんデザイン,https://www.kyoto-np.co.jp/articles/-/794739
05/18/2022,京都府警本部右京警察署人気アニメ「新世紀エヴァンゲリオン」の女性キャラクターのフィギュアの頭部を、別の胴体に取り付けて販売したとして、京都府警生活保安課と右京署は１８日、著作権法違反の疑いで、岡山県の５０代のアルバイト男を逮捕した。捜査関係者への取材で分かった。こうしたフィギュアを作り替える手法は「魔改造」と呼ばれ、女性キャラクターの性的な見た目を強調した改造品の販売がインターネットで横行している。逮捕容疑は、２０２０年６月と１０月、著作権を持つアニメ制作会社の許可を得ずに、女性キャラクター「惣流・アスカ・ラングレー」の頭部と、別の胴体を組み合わせたフィギュア２点を、ネットを通じて計約２万円で２人に販売した疑い。府警は、男の自宅から「魔改造」などが施されたフィギュア３５点を押収した。２体のフィギュアを数千円で仕入れ、組み合わせた完成品を１万円程度で販売していたとみられる。男は２０年２月～２１年１０月にかけ、ネットで「魔改造」のフィギュアなどを販売し、約１８０万円の売り上げがあったという。,社会,エヴァ「アスカ」のフィギュアを「魔改造」しネット販売　容疑で50代男逮捕、京都府警　,https://www.kyoto-np.co.jp/articles/-/794738
05/18/2022,「平成の大合併」の際、新市町が名称で「丹波」を張り合った。京都府と兵庫県にまたがる旧国名で、特産品の黒大豆や栗などのブランドで全国にも通じ…,社会,コラム凡語：昔の名前で,https://www.kyoto-np.co.jp/articles/-/794714
