11/26/2021,藤城　亨氏（ふじき・とおる＝元島津製作所常務）２１日午後８時、,訃報,【訃報】島津製作所の元常務・藤城亨氏,https://www.kyoto-np.co.jp/articles/-/683802
11/26/2021,京都府警宇治署２６日午前０時半ごろ、京都府宇治市五ケ庄日皆田、男性（９５）方から出火、木造２階建ての１階と２階の計約４５平方メートルが焼けた。１階玄関付近で男性１人が倒れている状態で見つかったが、死亡が確認された。京都府警宇治署によると、男性は１人暮らし。同署は、遺体は連絡が取れていない男性さんとみて、身元の確認を進めている。現場は京都大宇治キャンパス南側の住宅街。,社会,民家火災、男性１人死亡　玄関付近で倒れている状態で発見　京都・宇治,https://www.kyoto-np.co.jp/articles/-/683952
11/26/2021,＜京都＞ 【速度】下鴨署＝,社会,27日の主な交通取り締まり,https://www.kyoto-np.co.jp/articles/-/680389
