04/18/2022,京都府知事選で再選を果たした西脇隆俊知事（６６）が１８日午前、京都市上京区の府庁に初登庁した。拍手で出迎えた与党府議や府職員など約３００人…,社会,再選果たした西脇京都府知事が初登庁　新型コロナに全力対応と強調,https://www.kyoto-np.co.jp/articles/-/774414
04/18/2022,京都女性スポーツフェスティバルのなぎなたは１６日、京都市左京区の市武道センター旧武徳殿で行われ、試合競技・三段以上の部は西本治美さん（京都…,スポーツ,「昔の感覚染みていた」なぎなた三段以上の部は西本さんＶ　京都女性スポーツフェスティバル,https://www.kyoto-np.co.jp/articles/-/774411
04/18/2022,京都女性スポーツフェスティバルのホッケーが１７日、京都府京田辺市の田辺中央体育館で行われ、決勝でＤＲＥＡＭが３－２南都レディースを破って優…,スポーツ,「子育てが終盤の体力に」ホッケ―はＤＲＥＡＭが優勝　京都女性スポーツフェスティバル,https://www.kyoto-np.co.jp/articles/-/774404
