03/11/2022,◆3月12日（土）ＢＳＰ／ＢＳ４Ｋ　午前6時45分～7時15分美の壺　選「光を奏でる　ガラス」　※2021年3月初回放送足暮らしに欠かせな…,文化・ライフ,京都テレビ案内 3月12日　アニメ 舞妓さんちのまかないさん,https://www.kyoto-np.co.jp/articles/-/748153
03/11/2022,携帯電話のショートメッセージサービス（ＳＭＳ）を使った本人確認手続き「ＳＭＳ認証」を代行し、フリーマーケットサイトのアカウントを依頼者に不正取得させたとして、京都府警は１１日、私電磁的記録不正作出・同供用容疑で、相模原市の高校１年の男子生徒（１６）を書類送検した。ＳＭＳ認証の代行は「楽に稼げる副業」として横行しており、専門家は「犯罪を生むインフラになっている」と警鐘を鳴らす。  　ＳＭＳ認証は、携帯電話のＳＭＳを使って認証コードをやりとりする仕組み。フリーマーケットサイトや会員制交流サイト（ＳＮＳ）の利用開始時に…,社会,ＳＭＳ認証の代行「楽に稼げる副業」フリマサイトの詐欺や転売に悪用　その手口とは,https://www.kyoto-np.co.jp/articles/-/748051
03/11/2022,京都府宇治市京都府宇治市神明石塚で９日に発生した民家火災で、京都府警宇治署は１１日、火元の建物から見つかった遺体は住人の男性会社員（３２）だったと発表した。死因は焼死だった。,社会,民家火災、火元の建物で発見遺体は住人男性と確認　京都・宇治,https://www.kyoto-np.co.jp/articles/-/748141
